Neighborhood,Neighborhood_Latitude,Neighborhood_Longitude,Venue,Venue_Latitude,Venue_Longitude,Venue Category,Rating,geometry,index_right,LAT,LON,Vict Sex,Age Category,Crimes_Commited
Angeles Mesa,33.9948047,-118.3228719,ICEF View Park Preparatory Accelerated Charter High School,33.9902904,-118.331204,school,3.7,POINT (-118.3228719 33.9948047),39027,33.995,-118.3226,F,35-60,2
Angeles Mesa,33.9948047,-118.3228719,Personal 10,33.9929526,-118.3241289,health,,POINT (-118.3228719 33.9948047),39027,33.995,-118.3226,F,35-60,2
Angeles Mesa,33.9948047,-118.3228719,Grade A Hypnosis Shows,33.99986659999999,-118.3238718,school,,POINT (-118.3228719 33.9948047),39027,33.995,-118.3226,F,35-60,2
Angeles Mesa,33.9948047,-118.3228719,Van Ness Recreation Center,33.9905244,-118.3190525,park,4.2,POINT (-118.3228719 33.9948047),39030,33.995,-118.3226,M,18-35,1
Angeles Mesa,33.9948047,-118.3228719,ICEF View Park Preparatory Accelerated Charter High School,33.9902904,-118.331204,school,3.7,POINT (-118.3228719 33.9948047),39030,33.995,-118.3226,M,18-35,1
Angeles Mesa,33.9948047,-118.3228719,Personal 10,33.9929526,-118.3241289,health,,POINT (-118.3228719 33.9948047),39030,33.995,-118.3226,M,18-35,1
Angeles Mesa,33.9948047,-118.3228719,Grade A Hypnosis Shows,33.99986659999999,-118.3238718,school,,POINT (-118.3228719 33.9948047),39030,33.995,-118.3226,M,18-35,1
Angeles Mesa,33.9948047,-118.3228719,Van Ness Recreation Center,33.9905244,-118.3190525,park,4.2,POINT (-118.3228719 33.9948047),39032,33.995,-118.3226,M,<18,2
Angeles Mesa,33.9948047,-118.3228719,ICEF View Park Preparatory Accelerated Charter High School,33.9902904,-118.331204,school,3.7,POINT (-118.3228719 33.9948047),39032,33.995,-118.3226,M,<18,2
Angeles Mesa,33.9948047,-118.3228719,Personal 10,33.9929526,-118.3241289,health,,POINT (-118.3228719 33.9948047),39032,33.995,-118.3226,M,<18,2
Angeles Mesa,33.9948047,-118.3228719,Grade A Hypnosis Shows,33.99986659999999,-118.3238718,school,,POINT (-118.3228719 33.9948047),39032,33.995,-118.3226,M,<18,2
Angeles Mesa,33.9948047,-118.3228719,Van Ness Recreation Center,33.9905244,-118.3190525,park,4.2,POINT (-118.3228719 33.9948047),39031,33.995,-118.3226,M,35-60,1
Angeles Mesa,33.9948047,-118.3228719,ICEF View Park Preparatory Accelerated Charter High School,33.9902904,-118.331204,school,3.7,POINT (-118.3228719 33.9948047),39031,33.995,-118.3226,M,35-60,1
Angeles Mesa,33.9948047,-118.3228719,Personal 10,33.9929526,-118.3241289,health,,POINT (-118.3228719 33.9948047),39031,33.995,-118.3226,M,35-60,1
Angeles Mesa,33.9948047,-118.3228719,Grade A Hypnosis Shows,33.99986659999999,-118.3238718,school,,POINT (-118.3228719 33.9948047),39031,33.995,-118.3226,M,35-60,1
Angeles Mesa,33.9948047,-118.3228719,Van Ness Recreation Center,33.9905244,-118.3190525,park,4.2,POINT (-118.3228719 33.9948047),39028,33.995,-118.3226,F,60+,1
Angeles Mesa,33.9948047,-118.3228719,ICEF View Park Preparatory Accelerated Charter High School,33.9902904,-118.331204,school,3.7,POINT (-118.3228719 33.9948047),39028,33.995,-118.3226,F,60+,1
Angeles Mesa,33.9948047,-118.3228719,Personal 10,33.9929526,-118.3241289,health,,POINT (-118.3228719 33.9948047),39028,33.995,-118.3226,F,60+,1
Angeles Mesa,33.9948047,-118.3228719,Grade A Hypnosis Shows,33.99986659999999,-118.3238718,school,,POINT (-118.3228719 33.9948047),39028,33.995,-118.3226,F,60+,1
Angeles Mesa,33.9948047,-118.3228719,Van Ness Recreation Center,33.9905244,-118.3190525,park,4.2,POINT (-118.3228719 33.9948047),39029,33.995,-118.3226,F,<18,2
Angeles Mesa,33.9948047,-118.3228719,ICEF View Park Preparatory Accelerated Charter High School,33.9902904,-118.331204,school,3.7,POINT (-118.3228719 33.9948047),39029,33.995,-118.3226,F,<18,2
Angeles Mesa,33.9948047,-118.3228719,Personal 10,33.9929526,-118.3241289,health,,POINT (-118.3228719 33.9948047),39029,33.995,-118.3226,F,<18,2
Angeles Mesa,33.9948047,-118.3228719,Grade A Hypnosis Shows,33.99986659999999,-118.3238718,school,,POINT (-118.3228719 33.9948047),39029,33.995,-118.3226,F,<18,2
Angelus Vista,34.0471577,-118.3177106,El Cholo - The Original,34.0502628,-118.3094457,restaurant,4.3,POINT (-118.3177106 34.0471577),79834,34.0472,-118.3177,F,35-60,1
Angelus Vista,34.0471577,-118.3177106,Road to Seoul Korean BBQ (Western),34.04849999999999,-118.3088417,restaurant,4.4,POINT (-118.3177106 34.0471577),79834,34.0472,-118.3177,F,35-60,1
Angelus Vista,34.0471577,-118.3177106,Chosun Galbee,34.0524295,-118.310468,bar,4.1,POINT (-118.3177106 34.0471577),79834,34.0472,-118.3177,F,35-60,1
Angelus Vista,34.0471577,-118.3177106,Wienerschnitzel,34.05321069999999,-118.3183399,restaurant,3.9,POINT (-118.3177106 34.0471577),79834,34.0472,-118.3177,F,35-60,1
Angelus Vista,34.0471577,-118.3177106,Loteria Grill,34.0475174,-118.3278783,restaurant,4.0,POINT (-118.3177106 34.0471577),79834,34.0472,-118.3177,F,35-60,1
Angelus Vista,34.0471577,-118.3177106,Pio Pico Middle School,34.0460414,-118.3173368,school,4.2,POINT (-118.3177106 34.0471577),79834,34.0472,-118.3177,F,35-60,1
Arleta,34.2504595,-118.4338345,Pacoima Middle School,34.2499469,-118.4232758,school,4.1,POINT (-118.4338345 34.2504595),176024,34.2502,-118.4332,F,35-60,3
Arleta,34.2504595,-118.4338345,Cloud & Fire,34.2466579,-118.4320996,school,4.3,POINT (-118.4338345 34.2504595),176024,34.2502,-118.4332,F,35-60,3
Arleta,34.2504595,-118.4338345,Ay Papa Que Rico,34.25398510000001,-118.4390479,restaurant,4.5,POINT (-118.4338345 34.2504595),176024,34.2502,-118.4332,F,35-60,3
Arleta,34.2504595,-118.4338345,"California Cadet Corps, Headquarters, 7th Briagde",34.2501033,-118.4255062,school,3.5,POINT (-118.4338345 34.2504595),176024,34.2502,-118.4332,F,35-60,3
Arleta,34.2504595,-118.4338345,Pacoima Middle School,34.2499469,-118.4232758,school,4.1,POINT (-118.4338345 34.2504595),176023,34.2502,-118.4332,F,18-35,2
Arleta,34.2504595,-118.4338345,Cloud & Fire,34.2466579,-118.4320996,school,4.3,POINT (-118.4338345 34.2504595),176023,34.2502,-118.4332,F,18-35,2
Arleta,34.2504595,-118.4338345,Ay Papa Que Rico,34.25398510000001,-118.4390479,restaurant,4.5,POINT (-118.4338345 34.2504595),176023,34.2502,-118.4332,F,18-35,2
Arleta,34.2504595,-118.4338345,"California Cadet Corps, Headquarters, 7th Briagde",34.2501033,-118.4255062,school,3.5,POINT (-118.4338345 34.2504595),176023,34.2502,-118.4332,F,18-35,2
Arts District,34.0418947,-118.2326448,Wurstküche,34.0456114,-118.2360592,bar,4.6,POINT (-118.2326448 34.0418947),73881,34.042,-118.2326,M,60+,1
Arts District,34.0418947,-118.2326448,Sushi Gen,34.0470853,-118.238605,restaurant,4.6,POINT (-118.2326448 34.0418947),73881,34.042,-118.2326,M,60+,1
Arts District,34.0418947,-118.2326448,Manna Korean BBQ,34.0452804,-118.2385635,bar,4.0,POINT (-118.2326448 34.0418947),73881,34.042,-118.2326,M,60+,1
Arts District,34.0418947,-118.2326448,Sushi Go 55,34.04527409999999,-118.2384681,restaurant,4.5,POINT (-118.2326448 34.0418947),73881,34.042,-118.2326,M,60+,1
Arts District,34.0418947,-118.2326448,Bestia,34.0336799,-118.2292359,restaurant,4.6,POINT (-118.2326448 34.0418947),73881,34.042,-118.2326,M,60+,1
Arts District,34.0418947,-118.2326448,Fisherman's Outlet,34.0408429,-118.2400822,restaurant,4.6,POINT (-118.2326448 34.0418947),73881,34.042,-118.2326,M,60+,1
Arts District,34.0418947,-118.2326448,Shojin,34.0451592,-118.2386432,restaurant,4.6,POINT (-118.2326448 34.0418947),73881,34.042,-118.2326,M,60+,1
Arts District,34.0418947,-118.2326448,Yxta Cocina Mexicana,34.0391061,-118.2405366,restaurant,4.5,POINT (-118.2326448 34.0418947),73881,34.042,-118.2326,M,60+,1
Warehouse District,34.0418947,-118.2326448,Wurstküche,34.0456114,-118.2360592,bar,4.6,POINT (-118.2326448 34.0418947),73881,34.042,-118.2326,M,60+,1
Warehouse District,34.0418947,-118.2326448,Sushi Gen,34.0470853,-118.238605,restaurant,4.6,POINT (-118.2326448 34.0418947),73881,34.042,-118.2326,M,60+,1
Warehouse District,34.0418947,-118.2326448,Manna Korean BBQ,34.0452804,-118.2385635,bar,4.0,POINT (-118.2326448 34.0418947),73881,34.042,-118.2326,M,60+,1
Warehouse District,34.0418947,-118.2326448,Sushi Go 55,34.04527409999999,-118.2384681,restaurant,4.5,POINT (-118.2326448 34.0418947),73881,34.042,-118.2326,M,60+,1
Warehouse District,34.0418947,-118.2326448,Bestia,34.0336799,-118.2292359,restaurant,4.6,POINT (-118.2326448 34.0418947),73881,34.042,-118.2326,M,60+,1
Warehouse District,34.0418947,-118.2326448,Fisherman's Outlet,34.0408429,-118.2400822,restaurant,4.6,POINT (-118.2326448 34.0418947),73881,34.042,-118.2326,M,60+,1
Warehouse District,34.0418947,-118.2326448,Shojin,34.0451592,-118.2386432,restaurant,4.6,POINT (-118.2326448 34.0418947),73881,34.042,-118.2326,M,60+,1
Warehouse District,34.0418947,-118.2326448,Yxta Cocina Mexicana,34.0391061,-118.2405366,restaurant,4.5,POINT (-118.2326448 34.0418947),73881,34.042,-118.2326,M,60+,1
Arts District,34.0418947,-118.2326448,Wurstküche,34.0456114,-118.2360592,bar,4.6,POINT (-118.2326448 34.0418947),73877,34.042,-118.2326,F,18-35,9
Arts District,34.0418947,-118.2326448,Sushi Gen,34.0470853,-118.238605,restaurant,4.6,POINT (-118.2326448 34.0418947),73877,34.042,-118.2326,F,18-35,9
Arts District,34.0418947,-118.2326448,Manna Korean BBQ,34.0452804,-118.2385635,bar,4.0,POINT (-118.2326448 34.0418947),73877,34.042,-118.2326,F,18-35,9
Arts District,34.0418947,-118.2326448,Sushi Go 55,34.04527409999999,-118.2384681,restaurant,4.5,POINT (-118.2326448 34.0418947),73877,34.042,-118.2326,F,18-35,9
Arts District,34.0418947,-118.2326448,Bestia,34.0336799,-118.2292359,restaurant,4.6,POINT (-118.2326448 34.0418947),73877,34.042,-118.2326,F,18-35,9
Arts District,34.0418947,-118.2326448,Fisherman's Outlet,34.0408429,-118.2400822,restaurant,4.6,POINT (-118.2326448 34.0418947),73877,34.042,-118.2326,F,18-35,9
Arts District,34.0418947,-118.2326448,Shojin,34.0451592,-118.2386432,restaurant,4.6,POINT (-118.2326448 34.0418947),73877,34.042,-118.2326,F,18-35,9
Arts District,34.0418947,-118.2326448,Yxta Cocina Mexicana,34.0391061,-118.2405366,restaurant,4.5,POINT (-118.2326448 34.0418947),73877,34.042,-118.2326,F,18-35,9
Warehouse District,34.0418947,-118.2326448,Wurstküche,34.0456114,-118.2360592,bar,4.6,POINT (-118.2326448 34.0418947),73877,34.042,-118.2326,F,18-35,9
Warehouse District,34.0418947,-118.2326448,Sushi Gen,34.0470853,-118.238605,restaurant,4.6,POINT (-118.2326448 34.0418947),73877,34.042,-118.2326,F,18-35,9
Warehouse District,34.0418947,-118.2326448,Manna Korean BBQ,34.0452804,-118.2385635,bar,4.0,POINT (-118.2326448 34.0418947),73877,34.042,-118.2326,F,18-35,9
Warehouse District,34.0418947,-118.2326448,Sushi Go 55,34.04527409999999,-118.2384681,restaurant,4.5,POINT (-118.2326448 34.0418947),73877,34.042,-118.2326,F,18-35,9
Warehouse District,34.0418947,-118.2326448,Bestia,34.0336799,-118.2292359,restaurant,4.6,POINT (-118.2326448 34.0418947),73877,34.042,-118.2326,F,18-35,9
Warehouse District,34.0418947,-118.2326448,Fisherman's Outlet,34.0408429,-118.2400822,restaurant,4.6,POINT (-118.2326448 34.0418947),73877,34.042,-118.2326,F,18-35,9
Warehouse District,34.0418947,-118.2326448,Shojin,34.0451592,-118.2386432,restaurant,4.6,POINT (-118.2326448 34.0418947),73877,34.042,-118.2326,F,18-35,9
Warehouse District,34.0418947,-118.2326448,Yxta Cocina Mexicana,34.0391061,-118.2405366,restaurant,4.5,POINT (-118.2326448 34.0418947),73877,34.042,-118.2326,F,18-35,9
Arts District,34.0418947,-118.2326448,Wurstküche,34.0456114,-118.2360592,bar,4.6,POINT (-118.2326448 34.0418947),73878,34.042,-118.2326,F,35-60,3
Arts District,34.0418947,-118.2326448,Sushi Gen,34.0470853,-118.238605,restaurant,4.6,POINT (-118.2326448 34.0418947),73878,34.042,-118.2326,F,35-60,3
Arts District,34.0418947,-118.2326448,Manna Korean BBQ,34.0452804,-118.2385635,bar,4.0,POINT (-118.2326448 34.0418947),73878,34.042,-118.2326,F,35-60,3
Arts District,34.0418947,-118.2326448,Sushi Go 55,34.04527409999999,-118.2384681,restaurant,4.5,POINT (-118.2326448 34.0418947),73878,34.042,-118.2326,F,35-60,3
Arts District,34.0418947,-118.2326448,Bestia,34.0336799,-118.2292359,restaurant,4.6,POINT (-118.2326448 34.0418947),73878,34.042,-118.2326,F,35-60,3
Arts District,34.0418947,-118.2326448,Fisherman's Outlet,34.0408429,-118.2400822,restaurant,4.6,POINT (-118.2326448 34.0418947),73878,34.042,-118.2326,F,35-60,3
Arts District,34.0418947,-118.2326448,Shojin,34.0451592,-118.2386432,restaurant,4.6,POINT (-118.2326448 34.0418947),73878,34.042,-118.2326,F,35-60,3
Arts District,34.0418947,-118.2326448,Yxta Cocina Mexicana,34.0391061,-118.2405366,restaurant,4.5,POINT (-118.2326448 34.0418947),73878,34.042,-118.2326,F,35-60,3
Warehouse District,34.0418947,-118.2326448,Wurstküche,34.0456114,-118.2360592,bar,4.6,POINT (-118.2326448 34.0418947),73878,34.042,-118.2326,F,35-60,3
Warehouse District,34.0418947,-118.2326448,Sushi Gen,34.0470853,-118.238605,restaurant,4.6,POINT (-118.2326448 34.0418947),73878,34.042,-118.2326,F,35-60,3
Warehouse District,34.0418947,-118.2326448,Manna Korean BBQ,34.0452804,-118.2385635,bar,4.0,POINT (-118.2326448 34.0418947),73878,34.042,-118.2326,F,35-60,3
Warehouse District,34.0418947,-118.2326448,Sushi Go 55,34.04527409999999,-118.2384681,restaurant,4.5,POINT (-118.2326448 34.0418947),73878,34.042,-118.2326,F,35-60,3
Warehouse District,34.0418947,-118.2326448,Bestia,34.0336799,-118.2292359,restaurant,4.6,POINT (-118.2326448 34.0418947),73878,34.042,-118.2326,F,35-60,3
Warehouse District,34.0418947,-118.2326448,Fisherman's Outlet,34.0408429,-118.2400822,restaurant,4.6,POINT (-118.2326448 34.0418947),73878,34.042,-118.2326,F,35-60,3
Warehouse District,34.0418947,-118.2326448,Shojin,34.0451592,-118.2386432,restaurant,4.6,POINT (-118.2326448 34.0418947),73878,34.042,-118.2326,F,35-60,3
Warehouse District,34.0418947,-118.2326448,Yxta Cocina Mexicana,34.0391061,-118.2405366,restaurant,4.5,POINT (-118.2326448 34.0418947),73878,34.042,-118.2326,F,35-60,3
Arts District,34.0418947,-118.2326448,Wurstküche,34.0456114,-118.2360592,bar,4.6,POINT (-118.2326448 34.0418947),73880,34.042,-118.2326,M,35-60,6
Arts District,34.0418947,-118.2326448,Sushi Gen,34.0470853,-118.238605,restaurant,4.6,POINT (-118.2326448 34.0418947),73880,34.042,-118.2326,M,35-60,6
Arts District,34.0418947,-118.2326448,Manna Korean BBQ,34.0452804,-118.2385635,bar,4.0,POINT (-118.2326448 34.0418947),73880,34.042,-118.2326,M,35-60,6
Arts District,34.0418947,-118.2326448,Sushi Go 55,34.04527409999999,-118.2384681,restaurant,4.5,POINT (-118.2326448 34.0418947),73880,34.042,-118.2326,M,35-60,6
Arts District,34.0418947,-118.2326448,Bestia,34.0336799,-118.2292359,restaurant,4.6,POINT (-118.2326448 34.0418947),73880,34.042,-118.2326,M,35-60,6
Arts District,34.0418947,-118.2326448,Fisherman's Outlet,34.0408429,-118.2400822,restaurant,4.6,POINT (-118.2326448 34.0418947),73880,34.042,-118.2326,M,35-60,6
Arts District,34.0418947,-118.2326448,Shojin,34.0451592,-118.2386432,restaurant,4.6,POINT (-118.2326448 34.0418947),73880,34.042,-118.2326,M,35-60,6
Arts District,34.0418947,-118.2326448,Yxta Cocina Mexicana,34.0391061,-118.2405366,restaurant,4.5,POINT (-118.2326448 34.0418947),73880,34.042,-118.2326,M,35-60,6
Warehouse District,34.0418947,-118.2326448,Wurstküche,34.0456114,-118.2360592,bar,4.6,POINT (-118.2326448 34.0418947),73880,34.042,-118.2326,M,35-60,6
Warehouse District,34.0418947,-118.2326448,Sushi Gen,34.0470853,-118.238605,restaurant,4.6,POINT (-118.2326448 34.0418947),73880,34.042,-118.2326,M,35-60,6
Warehouse District,34.0418947,-118.2326448,Manna Korean BBQ,34.0452804,-118.2385635,bar,4.0,POINT (-118.2326448 34.0418947),73880,34.042,-118.2326,M,35-60,6
Warehouse District,34.0418947,-118.2326448,Sushi Go 55,34.04527409999999,-118.2384681,restaurant,4.5,POINT (-118.2326448 34.0418947),73880,34.042,-118.2326,M,35-60,6
Warehouse District,34.0418947,-118.2326448,Bestia,34.0336799,-118.2292359,restaurant,4.6,POINT (-118.2326448 34.0418947),73880,34.042,-118.2326,M,35-60,6
Warehouse District,34.0418947,-118.2326448,Fisherman's Outlet,34.0408429,-118.2400822,restaurant,4.6,POINT (-118.2326448 34.0418947),73880,34.042,-118.2326,M,35-60,6
Warehouse District,34.0418947,-118.2326448,Shojin,34.0451592,-118.2386432,restaurant,4.6,POINT (-118.2326448 34.0418947),73880,34.042,-118.2326,M,35-60,6
Warehouse District,34.0418947,-118.2326448,Yxta Cocina Mexicana,34.0391061,-118.2405366,restaurant,4.5,POINT (-118.2326448 34.0418947),73880,34.042,-118.2326,M,35-60,6
Arts District,34.0418947,-118.2326448,Wurstküche,34.0456114,-118.2360592,bar,4.6,POINT (-118.2326448 34.0418947),73879,34.042,-118.2326,M,18-35,10
Arts District,34.0418947,-118.2326448,Sushi Gen,34.0470853,-118.238605,restaurant,4.6,POINT (-118.2326448 34.0418947),73879,34.042,-118.2326,M,18-35,10
Arts District,34.0418947,-118.2326448,Manna Korean BBQ,34.0452804,-118.2385635,bar,4.0,POINT (-118.2326448 34.0418947),73879,34.042,-118.2326,M,18-35,10
Arts District,34.0418947,-118.2326448,Sushi Go 55,34.04527409999999,-118.2384681,restaurant,4.5,POINT (-118.2326448 34.0418947),73879,34.042,-118.2326,M,18-35,10
Arts District,34.0418947,-118.2326448,Bestia,34.0336799,-118.2292359,restaurant,4.6,POINT (-118.2326448 34.0418947),73879,34.042,-118.2326,M,18-35,10
Arts District,34.0418947,-118.2326448,Fisherman's Outlet,34.0408429,-118.2400822,restaurant,4.6,POINT (-118.2326448 34.0418947),73879,34.042,-118.2326,M,18-35,10
Arts District,34.0418947,-118.2326448,Shojin,34.0451592,-118.2386432,restaurant,4.6,POINT (-118.2326448 34.0418947),73879,34.042,-118.2326,M,18-35,10
Arts District,34.0418947,-118.2326448,Yxta Cocina Mexicana,34.0391061,-118.2405366,restaurant,4.5,POINT (-118.2326448 34.0418947),73879,34.042,-118.2326,M,18-35,10
Warehouse District,34.0418947,-118.2326448,Wurstküche,34.0456114,-118.2360592,bar,4.6,POINT (-118.2326448 34.0418947),73879,34.042,-118.2326,M,18-35,10
Warehouse District,34.0418947,-118.2326448,Sushi Gen,34.0470853,-118.238605,restaurant,4.6,POINT (-118.2326448 34.0418947),73879,34.042,-118.2326,M,18-35,10
Warehouse District,34.0418947,-118.2326448,Manna Korean BBQ,34.0452804,-118.2385635,bar,4.0,POINT (-118.2326448 34.0418947),73879,34.042,-118.2326,M,18-35,10
Warehouse District,34.0418947,-118.2326448,Sushi Go 55,34.04527409999999,-118.2384681,restaurant,4.5,POINT (-118.2326448 34.0418947),73879,34.042,-118.2326,M,18-35,10
Warehouse District,34.0418947,-118.2326448,Bestia,34.0336799,-118.2292359,restaurant,4.6,POINT (-118.2326448 34.0418947),73879,34.042,-118.2326,M,18-35,10
Warehouse District,34.0418947,-118.2326448,Fisherman's Outlet,34.0408429,-118.2400822,restaurant,4.6,POINT (-118.2326448 34.0418947),73879,34.042,-118.2326,M,18-35,10
Warehouse District,34.0418947,-118.2326448,Shojin,34.0451592,-118.2386432,restaurant,4.6,POINT (-118.2326448 34.0418947),73879,34.042,-118.2326,M,18-35,10
Warehouse District,34.0418947,-118.2326448,Yxta Cocina Mexicana,34.0391061,-118.2405366,restaurant,4.5,POINT (-118.2326448 34.0418947),73879,34.042,-118.2326,M,18-35,10
Atwater Village,34.1183176,-118.2605846,Tam O'Shanter,34.1255988,-118.2641961,bar,4.6,POINT (-118.2605846 34.1183176),124190,34.1187,-118.2604,M,35-60,1
Atwater Village,34.1183176,-118.2605846,Bigfoot Lodge,34.1234876,-118.2679658,bar,4.5,POINT (-118.2605846 34.1183176),124190,34.1187,-118.2604,M,35-60,1
Atwater Village,34.1183176,-118.2605846,Tam O'Shanter,34.1255988,-118.2641961,bar,4.6,POINT (-118.2605846 34.1183176),124186,34.1187,-118.2604,F,18-35,1
Atwater Village,34.1183176,-118.2605846,Bigfoot Lodge,34.1234876,-118.2679658,bar,4.5,POINT (-118.2605846 34.1183176),124186,34.1187,-118.2604,F,18-35,1
Atwater Village,34.1183176,-118.2605846,Tam O'Shanter,34.1255988,-118.2641961,bar,4.6,POINT (-118.2605846 34.1183176),124189,34.1187,-118.2604,M,18-35,2
Atwater Village,34.1183176,-118.2605846,Bigfoot Lodge,34.1234876,-118.2679658,bar,4.5,POINT (-118.2605846 34.1183176),124189,34.1187,-118.2604,M,18-35,2
Atwater Village,34.1183176,-118.2605846,Tam O'Shanter,34.1255988,-118.2641961,bar,4.6,POINT (-118.2605846 34.1183176),124188,34.1187,-118.2604,F,60+,1
Atwater Village,34.1183176,-118.2605846,Bigfoot Lodge,34.1234876,-118.2679658,bar,4.5,POINT (-118.2605846 34.1183176),124188,34.1187,-118.2604,F,60+,1
Atwater Village,34.1183176,-118.2605846,Tam O'Shanter,34.1255988,-118.2641961,bar,4.6,POINT (-118.2605846 34.1183176),124191,34.1187,-118.2604,M,60+,1
Atwater Village,34.1183176,-118.2605846,Bigfoot Lodge,34.1234876,-118.2679658,bar,4.5,POINT (-118.2605846 34.1183176),124191,34.1187,-118.2604,M,60+,1
Atwater Village,34.1183176,-118.2605846,Tam O'Shanter,34.1255988,-118.2641961,bar,4.6,POINT (-118.2605846 34.1183176),124187,34.1187,-118.2604,F,35-60,1
Atwater Village,34.1183176,-118.2605846,Bigfoot Lodge,34.1234876,-118.2679658,bar,4.5,POINT (-118.2605846 34.1183176),124187,34.1187,-118.2604,F,35-60,1
Baldwin Hills,34.0193012,-118.3666482,Target Optical,34.023447,-118.37378,health,4.4,POINT (-118.3666482 34.0193012),53280,34.0192,-118.3672,F,18-35,3
Baldwin Hills,34.0193012,-118.3666482,Dr. Thuy C. Lam,34.0234456,-118.3737783,health,5.0,POINT (-118.3666482 34.0193012),53280,34.0192,-118.3672,F,18-35,3
